"","country","continent","year","lifeExp","pop","gdpPercap"
"83","India","Asia",2002,62.879,1034172547,1746.769454
"84","India","Asia",2007,64.698,1110396331,2452.210407
"85","Indonesia","Asia",1952,37.468,82052000,749.6816546
"86","Indonesia","Asia",1957,39.918,90124000,858.9002707
"87","Indonesia","Asia",1962,42.518,99028000,849.2897701
"88","Indonesia","Asia",1967,45.964,109343000,762.4317721
"89","Indonesia","Asia",1972,49.203,121282000,1111.107907
"90","Indonesia","Asia",1977,52.702,136725000,1382.702056
"91","Indonesia","Asia",1982,56.159,153343000,1516.872988
"92","Indonesia","Asia",1987,60.137,169276000,1748.356961
"93","Indonesia","Asia",1992,62.681,184816000,2383.140898
"94","Indonesia","Asia",1997,66.041,199278000,3119.335603
"95","Indonesia","Asia",2002,68.588,211060000,2873.91287
"96","Indonesia","Asia",2007,70.65,223547000,3540.651564
"97","Iran","Asia",1952,44.869,17272000,3035.326002
"98","Iran","Asia",1957,47.181,19792000,3290.257643
"99","Iran","Asia",1962,49.325,22874000,4187.329802
"100","Iran","Asia",1967,52.469,26538000,5906.731805
"101","Iran","Asia",1972,55.234,30614000,9613.818607
"102","Iran","Asia",1977,57.702,35480679,11888.59508
"103","Iran","Asia",1982,59.62,43072751,7608.334602
"104","Iran","Asia",1987,63.04,51889696,6642.881371
"105","Iran","Asia",1992,65.742,60397973,7235.653188
"106","Iran","Asia",1997,68.042,63327987,8263.590301
"107","Iran","Asia",2002,69.451,66907826,9240.761975
"108","Iran","Asia",2007,70.964,69453570,11605.71449
"109","Iraq","Asia",1952,45.32,5441766,4129.766056
"110","Iraq","Asia",1957,48.437,6248643,6229.333562
"111","Iraq","Asia",1962,51.457,7240260,8341.737815
"112","Iraq","Asia",1967,54.459,8519282,8931.459811
"113","Iraq","Asia",1972,56.95,10061506,9576.037596
"114","Iraq","Asia",1977,60.413,11882916,14688.23507
"115","Iraq","Asia",1982,62.038,14173318,14517.90711
"116","Iraq","Asia",1987,65.044,16543189,11643.57268
"117","Iraq","Asia",1992,59.461,17861905,3745.640687
"118","Iraq","Asia",1997,58.811,20775703,3076.239795
"119","Iraq","Asia",2002,57.046,24001816,4390.717312
"120","Iraq","Asia",2007,59.545,27499638,4471.061906
"121","Israel","Asia",1952,65.39,1620914,4086.522128
"122","Israel","Asia",1957,67.84,1944401,5385.278451
"123","Israel","Asia",1962,69.39,2310904,7105.630706
"124","Israel","Asia",1967,70.75,2693585,8393.741404
"125","Israel","Asia",1972,71.63,3095893,12786.93223
"126","Israel","Asia",1977,73.06,3495918,13306.61921
"127","Israel","Asia",1982,74.45,3858421,15367.0292
"128","Israel","Asia",1987,75.6,4203148,17122.47986
"129","Israel","Asia",1992,76.93,4936550,18051.52254
"130","Israel","Asia",1997,78.269,5531387,20896.60924
"131","Israel","Asia",2002,79.696,6029529,21905.59514
"132","Israel","Asia",2007,80.745,6426679,25523.2771
"133","Japan","Asia",1952,63.03,86459025,3216.956347
"134","Japan","Asia",1957,65.5,91563009,4317.694365
"135","Japan","Asia",1962,68.73,95831757,6576.649461
"136","Japan","Asia",1967,71.43,100825279,9847.788607
"137","Japan","Asia",1972,73.42,107188273,14778.78636
"138","Japan","Asia",1977,75.38,113872473,16610.37701
"139","Japan","Asia",1982,77.11,118454974,19384.10571
"140","Japan","Asia",1987,78.67,122091325,22375.94189
"141","Japan","Asia",1992,79.36,124329269,26824.89511
"142","Japan","Asia",1997,80.69,125956499,28816.58499
"143","Japan","Asia",2002,82,127065841,28604.5919
"144","Japan","Asia",2007,82.603,127467972,31656.06806
"145","Jordan","Asia",1952,43.158,607914,1546.907807
"146","Jordan","Asia",1957,45.669,746559,1886.080591
"147","Jordan","Asia",1962,48.126,933559,2348.009158
"148","Jordan","Asia",1967,51.629,1255058,2741.796252
"149","Jordan","Asia",1972,56.528,1613551,2110.856309
"150","Jordan","Asia",1977,61.134,1937652,2852.351568
"151","Jordan","Asia",1982,63.739,2347031,4161.415959
"152","Jordan","Asia",1987,65.869,2820042,4448.679912
"153","Jordan","Asia",1992,68.015,3867409,3431.593647
"154","Jordan","Asia",1997,69.772,4526235,3645.379572
"155","Jordan","Asia",2002,71.263,5307470,3844.917194
"156","Jordan","Asia",2007,72.535,6053193,4519.461171
"157","Korea, Dem. Rep.","Asia",1952,50.056,8865488,1088.277758
"158","Korea, Dem. Rep.","Asia",1957,54.081,9411381,1571.134655
"159","Korea, Dem. Rep.","Asia",1962,56.656,10917494,1621.693598
"160","Korea, Dem. Rep.","Asia",1967,59.942,12617009,2143.540609
"161","Korea, Dem. Rep.","Asia",1972,63.983,14781241,3701.621503
"162","Korea, Dem. Rep.","Asia",1977,67.159,16325320,4106.301249
"163","Korea, Dem. Rep.","Asia",1982,69.1,17647518,4106.525293
"164","Korea, Dem. Rep.","Asia",1987,70.647,19067554,4106.492315
"165","Korea, Dem. Rep.","Asia",1992,69.978,20711375,3726.063507
"166","Korea, Dem. Rep.","Asia",1997,67.727,21585105,1690.756814
"167","Korea, Dem. Rep.","Asia",2002,66.662,22215365,1646.758151
"168","Korea, Dem. Rep.","Asia",2007,67.297,23301725,1593.06548
"169","Korea, Rep.","Asia",1952,47.453,20947571,1030.592226
"170","Korea, Rep.","Asia",1957,52.681,22611552,1487.593537
"171","Korea, Rep.","Asia",1962,55.292,26420307,1536.344387
"172","Korea, Rep.","Asia",1967,57.716,30131000,2029.228142
"173","Korea, Rep.","Asia",1972,62.612,33505000,3030.87665
"174","Korea, Rep.","Asia",1977,64.766,36436000,4657.22102
"175","Korea, Rep.","Asia",1982,67.123,39326000,5622.942464
"176","Korea, Rep.","Asia",1987,69.81,41622000,8533.088805
"177","Korea, Rep.","Asia",1992,72.244,43805450,12104.27872
"178","Korea, Rep.","Asia",1997,74.647,46173816,15993.52796
"179","Korea, Rep.","Asia",2002,77.045,47969150,19233.98818
"180","Korea, Rep.","Asia",2007,78.623,49044790,23348.13973
"181","Kuwait","Asia",1952,55.565,160000,108382.3529
"182","Kuwait","Asia",1957,58.033,212846,113523.1329
"183","Kuwait","Asia",1962,60.47,358266,95458.11176
"184","Kuwait","Asia",1967,64.624,575003,80894.88326
"185","Kuwait","Asia",1972,67.712,841934,109347.867
"186","Kuwait","Asia",1977,69.343,1140357,59265.47714
"187","Kuwait","Asia",1982,71.309,1497494,31354.03573
"188","Kuwait","Asia",1987,74.174,1891487,28118.42998
"189","Kuwait","Asia",1992,75.19,1418095,34932.91959
"190","Kuwait","Asia",1997,76.156,1765345,40300.61996
"191","Kuwait","Asia",2002,76.904,2111561,35110.10566
"192","Kuwait","Asia",2007,77.588,2505559,47306.98978
"193","Lebanon","Asia",1952,55.928,1439529,4834.804067
"194","Lebanon","Asia",1957,59.489,1647412,6089.786934
"195","Lebanon","Asia",1962,62.094,1886848,5714.560611
"196","Lebanon","Asia",1967,63.87,2186894,6006.983042
"197","Lebanon","Asia",1972,65.421,2680018,7486.384341
"198","Lebanon","Asia",1977,66.099,3115787,8659.696836
"199","Lebanon","Asia",1982,66.983,3086876,7640.519521
"200","Lebanon","Asia",1987,67.926,3089353,5377.091329
"201","Lebanon","Asia",1992,69.292,3219994,6890.806854
"202","Lebanon","Asia",1997,70.265,3430388,8754.96385
"203","Lebanon","Asia",2002,71.028,3677780,9313.93883
"204","Lebanon","Asia",2007,71.993,3921278,10461.05868
"205","Malaysia","Asia",1952,48.463,6748378,1831.132894
"206","Malaysia","Asia",1957,52.102,7739235,1810.066992
"207","Malaysia","Asia",1962,55.737,8906385,2036.884944
"208","Malaysia","Asia",1967,59.371,10154878,2277.742396
"209","Malaysia","Asia",1972,63.01,11441462,2849.09478
"210","Malaysia","Asia",1977,65.256,12845381,3827.921571
"211","Malaysia","Asia",1982,68,14441916,4920.355951
"212","Malaysia","Asia",1987,69.5,16331785,5249.802653
"213","Malaysia","Asia",1992,70.693,18319502,7277.912802
"214","Malaysia","Asia",1997,71.938,20476091,10132.90964
"215","Malaysia","Asia",2002,73.044,22662365,10206.97794
"216","Malaysia","Asia",2007,74.241,24821286,12451.6558
"217","Mongolia","Asia",1952,42.244,800663,786.5668575
"218","Mongolia","Asia",1957,45.248,882134,912.6626085
"219","Mongolia","Asia",1962,48.251,1010280,1056.353958
"220","Mongolia","Asia",1967,51.253,1149500,1226.04113
"221","Mongolia","Asia",1972,53.754,1320500,1421.741975
"222","Mongolia","Asia",1977,55.491,1528000,1647.511665
"223","Mongolia","Asia",1982,57.489,1756032,2000.603139
"224","Mongolia","Asia",1987,60.222,2015133,2338.008304
"225","Mongolia","Asia",1992,61.271,2312802,1785.402016
"226","Mongolia","Asia",1997,63.625,2494803,1902.2521
"227","Mongolia","Asia",2002,65.033,2674234,2140.739323
"228","Mongolia","Asia",2007,66.803,2874127,3095.772271
"229","Myanmar","Asia",1952,36.319,20092996,331
"230","Myanmar","Asia",1957,41.905,21731844,350
"231","Myanmar","Asia",1962,45.108,23634436,388
"232","Myanmar","Asia",1967,49.379,25870271,349
"233","Myanmar","Asia",1972,53.07,28466390,357
"234","Myanmar","Asia",1977,56.059,31528087,371
"235","Myanmar","Asia",1982,58.056,34680442,424
"236","Myanmar","Asia",1987,58.339,38028578,385
"237","Myanmar","Asia",1992,59.32,40546538,347
"238","Myanmar","Asia",1997,60.328,43247867,415
"239","Myanmar","Asia",2002,59.908,45598081,611
"240","Myanmar","Asia",2007,62.069,47761980,944
"241","Nepal","Asia",1952,36.157,9182536,545.8657229
"242","Nepal","Asia",1957,37.686,9682338,597.9363558
"243","Nepal","Asia",1962,39.393,10332057,652.3968593
"244","Nepal","Asia",1967,41.472,11261690,676.4422254
"245","Nepal","Asia",1972,43.971,12412593,674.7881296
"246","Nepal","Asia",1977,46.748,13933198,694.1124398
"247","Nepal","Asia",1982,49.594,15796314,718.3730947
"248","Nepal","Asia",1987,52.537,17917180,775.6324501
"249","Nepal","Asia",1992,55.727,20326209,897.7403604
"250","Nepal","Asia",1997,59.426,23001113,1010.892138
"251","Nepal","Asia",2002,61.34,25873917,1057.206311
"252","Nepal","Asia",2007,63.785,28901790,1091.359778
"253","Oman","Asia",1952,37.578,507833,1828.230307
"254","Oman","Asia",1957,40.08,561977,2242.746551
"255","Oman","Asia",1962,43.165,628164,2924.638113
"256","Oman","Asia",1967,46.988,714775,4720.942687
"257","Oman","Asia",1972,52.143,829050,10618.03855
"258","Oman","Asia",1977,57.367,1004533,11848.34392
"259","Oman","Asia",1982,62.728,1301048,12954.79101
"260","Oman","Asia",1987,67.734,1593882,18115.22313
"261","Oman","Asia",1992,71.197,1915208,18616.70691
"262","Oman","Asia",1997,72.499,2283635,19702.05581
"263","Oman","Asia",2002,74.193,2713462,19774.83687
"264","Oman","Asia",2007,75.64,3204897,22316.19287
"265","Pakistan","Asia",1952,43.436,41346560,684.5971438
"266","Pakistan","Asia",1957,45.557,46679944,747.0835292
"267","Pakistan","Asia",1962,47.67,53100671,803.3427418
"268","Pakistan","Asia",1967,49.8,60641899,942.4082588
"269","Pakistan","Asia",1972,51.929,69325921,1049.938981
"270","Pakistan","Asia",1977,54.043,78152686,1175.921193
"271","Pakistan","Asia",1982,56.158,91462088,1443.429832
"272","Pakistan","Asia",1987,58.245,105186881,1704.686583
"273","Pakistan","Asia",1992,60.838,120065004,1971.829464
"274","Pakistan","Asia",1997,61.818,135564834,2049.350521
"275","Pakistan","Asia",2002,63.61,153403524,2092.712441
"276","Pakistan","Asia",2007,65.483,169270617,2605.94758
"277","Philippines","Asia",1952,47.752,22438691,1272.880995
"278","Philippines","Asia",1957,51.334,26072194,1547.944844
"279","Philippines","Asia",1962,54.757,30325264,1649.552153
"280","Philippines","Asia",1967,56.393,35356600,1814.12743
"281","Philippines","Asia",1972,58.065,40850141,1989.37407
"282","Philippines","Asia",1977,60.06,46850962,2373.204287
"283","Philippines","Asia",1982,62.082,53456774,2603.273765
"284","Philippines","Asia",1987,64.151,60017788,2189.634995
"285","Philippines","Asia",1992,66.458,67185766,2279.324017
"286","Philippines","Asia",1997,68.564,75012988,2536.534925
"287","Philippines","Asia",2002,70.303,82995088,2650.921068
"288","Philippines","Asia",2007,71.688,91077287,3190.481016
"289","Saudi Arabia","Asia",1952,39.875,4005677,6459.554823
"290","Saudi Arabia","Asia",1957,42.868,4419650,8157.591248
"291","Saudi Arabia","Asia",1962,45.914,4943029,11626.41975
"292","Saudi Arabia","Asia",1967,49.901,5618198,16903.04886
"293","Saudi Arabia","Asia",1972,53.886,6472756,24837.42865
"294","Saudi Arabia","Asia",1977,58.69,8128505,34167.7626
"295","Saudi Arabia","Asia",1982,63.012,11254672,33693.17525
"296","Saudi Arabia","Asia",1987,66.295,14619745,21198.26136
"297","Saudi Arabia","Asia",1992,68.768,16945857,24841.61777
"298","Saudi Arabia","Asia",1997,70.533,21229759,20586.69019
"299","Saudi Arabia","Asia",2002,71.626,24501530,19014.54118
"300","Saudi Arabia","Asia",2007,72.777,27601038,21654.83194
"301","Singapore","Asia",1952,60.396,1127000,2315.138227
"302","Singapore","Asia",1957,63.179,1445929,2843.104409
"303","Singapore","Asia",1962,65.798,1750200,3674.735572
"304","Singapore","Asia",1967,67.946,1977600,4977.41854
"305","Singapore","Asia",1972,69.521,2152400,8597.756202
"306","Singapore","Asia",1977,70.795,2325300,11210.08948
"307","Singapore","Asia",1982,71.76,2651869,15169.16112
"308","Singapore","Asia",1987,73.56,2794552,18861.53081
"309","Singapore","Asia",1992,75.788,3235865,24769.8912
"310","Singapore","Asia",1997,77.158,3802309,33519.4766
"311","Singapore","Asia",2002,78.77,4197776,36023.1054
"312","Singapore","Asia",2007,79.972,4553009,47143.17964
"313","Sri Lanka","Asia",1952,57.593,7982342,1083.53203
"314","Sri Lanka","Asia",1957,61.456,9128546,1072.546602
"315","Sri Lanka","Asia",1962,62.192,10421936,1074.47196
"316","Sri Lanka","Asia",1967,64.266,11737396,1135.514326
"317","Sri Lanka","Asia",1972,65.042,13016733,1213.39553
"318","Sri Lanka","Asia",1977,65.949,14116836,1348.775651
"319","Sri Lanka","Asia",1982,68.757,15410151,1648.079789
"320","Sri Lanka","Asia",1987,69.011,16495304,1876.766827
"321","Sri Lanka","Asia",1992,70.379,17587060,2153.739222
"322","Sri Lanka","Asia",1997,70.457,18698655,2664.477257
"323","Sri Lanka","Asia",2002,70.815,19576783,3015.378833
"324","Sri Lanka","Asia",2007,72.396,20378239,3970.095407
"325","Syria","Asia",1952,45.883,3661549,1643.485354
"326","Syria","Asia",1957,48.284,4149908,2117.234893
"327","Syria","Asia",1962,50.305,4834621,2193.037133
"328","Syria","Asia",1967,53.655,5680812,1881.923632
"329","Syria","Asia",1972,57.296,6701172,2571.423014
"330","Syria","Asia",1977,61.195,7932503,3195.484582
"331","Syria","Asia",1982,64.59,9410494,3761.837715
"332","Syria","Asia",1987,66.974,11242847,3116.774285
"333","Syria","Asia",1992,69.249,13219062,3340.542768
"334","Syria","Asia",1997,71.527,15081016,4014.238972
"335","Syria","Asia",2002,73.053,17155814,4090.925331
"336","Syria","Asia",2007,74.143,19314747,4184.548089
"337","Taiwan","Asia",1952,58.5,8550362,1206.947913
"338","Taiwan","Asia",1957,62.4,10164215,1507.86129
"339","Taiwan","Asia",1962,65.2,11918938,1822.879028
"340","Taiwan","Asia",1967,67.5,13648692,2643.858681
"341","Taiwan","Asia",1972,69.39,15226039,4062.523897
"342","Taiwan","Asia",1977,70.59,16785196,5596.519826
"343","Taiwan","Asia",1982,72.16,18501390,7426.354774
"344","Taiwan","Asia",1987,73.4,19757799,11054.56175
"345","Taiwan","Asia",1992,74.26,20686918,15215.6579
"346","Taiwan","Asia",1997,75.25,21628605,20206.82098
"347","Taiwan","Asia",2002,76.99,22454239,23235.42329
"348","Taiwan","Asia",2007,78.4,23174294,28718.27684
"349","Thailand","Asia",1952,50.848,21289402,757.7974177
"350","Thailand","Asia",1957,53.63,25041917,793.5774148
"351","Thailand","Asia",1962,56.061,29263397,1002.199172
"352","Thailand","Asia",1967,58.285,34024249,1295.46066
"353","Thailand","Asia",1972,60.405,39276153,1524.358936
"354","Thailand","Asia",1977,62.494,44148285,1961.224635
"355","Thailand","Asia",1982,64.597,48827160,2393.219781
"356","Thailand","Asia",1987,66.084,52910342,2982.653773
"357","Thailand","Asia",1992,67.298,56667095,4616.896545
"358","Thailand","Asia",1997,67.521,60216677,5852.625497
"359","Thailand","Asia",2002,68.564,62806748,5913.187529
"360","Thailand","Asia",2007,70.616,65068149,7458.396327
"361","Vietnam","Asia",1952,40.412,26246839,605.0664917
"362","Vietnam","Asia",1957,42.887,28998543,676.2854478
"363","Vietnam","Asia",1962,45.363,33796140,772.0491602
"364","Vietnam","Asia",1967,47.838,39463910,637.1232887
"365","Vietnam","Asia",1972,50.254,44655014,699.5016441
"366","Vietnam","Asia",1977,55.764,50533506,713.5371196
"367","Vietnam","Asia",1982,58.816,56142181,707.2357863
"368","Vietnam","Asia",1987,62.82,62826491,820.7994449
"369","Vietnam","Asia",1992,67.662,69940728,989.0231487
"370","Vietnam","Asia",1997,70.672,76048996,1385.896769
"371","Vietnam","Asia",2002,73.017,80908147,1764.456677
"372","Vietnam","Asia",2007,74.249,85262356,2441.576404
"373","West Bank and Gaza","Asia",1952,43.16,1030585,1515.592329
"374","West Bank and Gaza","Asia",1957,45.671,1070439,1827.067742
"375","West Bank and Gaza","Asia",1962,48.127,1133134,2198.956312
"376","West Bank and Gaza","Asia",1967,51.631,1142636,2649.715007
"377","West Bank and Gaza","Asia",1972,56.532,1089572,3133.409277
"378","West Bank and Gaza","Asia",1977,60.765,1261091,3682.831494
"379","West Bank and Gaza","Asia",1982,64.406,1425876,4336.032082
"380","West Bank and Gaza","Asia",1987,67.046,1691210,5107.197384
"381","West Bank and Gaza","Asia",1992,69.718,2104779,6017.654756
"382","West Bank and Gaza","Asia",1997,71.096,2826046,7110.667619
"383","West Bank and Gaza","Asia",2002,72.37,3389578,4515.487575
"384","West Bank and Gaza","Asia",2007,73.422,4018332,3025.349798
"385","Yemen, Rep.","Asia",1952,32.548,4963829,781.7175761
"386","Yemen, Rep.","Asia",1957,33.97,5498090,804.8304547
"387","Yemen, Rep.","Asia",1962,35.18,6120081,825.6232006
"388","Yemen, Rep.","Asia",1967,36.984,6740785,862.4421463
"389","Yemen, Rep.","Asia",1972,39.848,7407075,1265.047031
"390","Yemen, Rep.","Asia",1977,44.175,8403990,1829.765177
"391","Yemen, Rep.","Asia",1982,49.113,9657618,1977.55701
"392","Yemen, Rep.","Asia",1987,52.922,11219340,1971.741538
"393","Yemen, Rep.","Asia",1992,55.599,13367997,1879.496673
"394","Yemen, Rep.","Asia",1997,58.02,15826497,2117.484526
"395","Yemen, Rep.","Asia",2002,60.308,18701257,2234.820827
"396","Yemen, Rep.","Asia",2007,62.698,22211743,2280.769906
